,alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
220,,MOVEZ,1,,,,,,,MOVEZ-USDT,SPOT,,1654834980000,0.01,9999999999999999.0000000000000000,20000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,10000,,USDT,,live,,0.000001,
221,,MRST,1,,,,,,,MRST-USDT,SPOT,,1667966214000,0.0001,99999999999999.0000000000000000,20000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,100,,USDT,,live,,0.000001,
222,,MXC,1,,,,,,,MXC-USDT,SPOT,,1548133413000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,100,,USDT,,live,,0.00001,
223,,MYRIA,1,,,,,,,MYRIA-USDT,SPOT,,1680757607000,0.01,9999999999999999.0000000000000000,20000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,100,,USDT,,live,,0.000001,
224,,NEAR,1,,,,,,,NEAR-USDT,SPOT,5,1606946400000,0.00000001,9999999999.0000000000000000,20000000,9999999999,1000000,1000000,1000000,9999999999.0000000000000000,9999999999.0000000000000000,1,,USDT,,live,,0.001,
225,,NEO,1,,,,,,,NEO-USDT,SPOT,5,1548133413000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.1,,USDT,,live,,0.001,
226,,NFT,1,,,,,,,NFT-USDT,SPOT,3,1636612984000,1,9999999999999999.0000000000000000,20000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,10000000,,USDT,,live,,0.0000000001,
227,,NMR,1,,,,,,,NMR-USDT,SPOT,5,1599778808000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.1,,USDT,,live,,0.01,
228,,NULS,1,,,,,,,NULS-USDT,SPOT,,1548133413000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,10,,USDT,,live,,0.0001,
229,,NYM,1,,,,,,,NYM-USDT,SPOT,,1649940999000,0.0001,99999999999999.0000000000000000,20000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,10,,USDT,,live,,0.0001,
230,,OAS,1,,,,,,,OAS-USDT,SPOT,,1670823117000,0.01,9999999999999999.0000000000000000,20000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,100,,USDT,,live,,0.00001,
231,,OKT,1,,,,,,,OKT-USDT,SPOT,,1611012701000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.1,,USDT,,live,,0.01,
232,,OM,1,,,,,,,OM-USDT,SPOT,,1598320800000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,100,,USDT,,live,,0.00001,
233,,OMG,1,,,,,,,OMG-USDT,SPOT,5,1548133413000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,10,,USDT,,live,,0.0001,
234,,OMI,1,,,,,,,OMI-USDT,SPOT,,1627898400000,0.001,999999999999999.0000000000000000,20000000,999999999999999,1000000,1000000,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000,,USDT,,live,,0.000001,
235,,OMN,1,,,,,,,OMN-USDT,SPOT,,1686898229000,0.0001,99999999999999.0000000000000000,20000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,100,,USDT,,live,,0.000001,
236,,ONE,1,,,,,,,ONE-USDT,SPOT,,1641439173000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,100,,USDT,,live,,0.00001,
237,,ONT,1,,,,,,,ONT-USDT,SPOT,5,1548133413000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,10,,USDT,,live,,0.0001,
238,,OP,1,,,,,,,OP-USDT,SPOT,10,1654017130000,0.0001,99999999999999.0000000000000000,20000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,USDT,,live,,0.0001,
239,,ORBS,1,,,,,,,ORBS-USDT,SPOT,5,1548133413000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,100,,USDT,,live,,0.00001,
240,,ORB,1,,,,,,,ORB-USDT,SPOT,,1647842908000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,100,,USDT,,live,,0.00001,
241,,OXT,1,,,,,,,OXT-USDT,SPOT,,1585530000000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,10,,USDT,,live,,0.0001,
242,,PCI,1,,,,,,,PCI-USDT,SPOT,,1648624377000,0.0001,99999999999999.0000000000000000,20000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,10,,USDT,,live,,0.0001,
243,,PEOPLE,1,,,,,,,PEOPLE-USDT,SPOT,5,1637910407000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,100,,USDT,,live,,0.00001,
244,,PEPE,1,,,,,,,PEPE-USDT,SPOT,5,1682914523000,1,9999999999999999.0000000000000000,20000000,9999999999999999,1000000,1000000,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,,USDT,,live,,0.000000001,
245,,PERP,1,,,,,,,PERP-USDT,SPOT,5,1615367068000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,1,,USDT,,live,,0.0001,
246,,PHA,1,,,,,,,PHA-USDT,SPOT,,1548133413000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,10,,USDT,,live,,0.0001,
247,,PIT,1,,,,,,,PIT-USDT,SPOT,,1648532055000,1,9999999999999999.0000000000000000,20000000,9999999999999999,1000000,300000000000,300000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,10000000000,,USDT,,live,,0.000000000001,
